"Precio compra" "Precio mantenimiento" "Número puertas" "Número personas" "Tamaño maletero" "Seguridad" "Aceptación del coche"
"Muy alto" "Muy alto" 2 "Más de 4" "Grande" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 2 "Más de 4" "Grande" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 3 2 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 3 2 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 3 2 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 3 2 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 3 2 "Medio" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 3 2 "Medio" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 3 2 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 3 2 "Grande" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 3 2 "Grande" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 3 4 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 3 4 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 3 4 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 3 4 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 3 4 "Medio" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 3 4 "Medio" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 3 4 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 3 4 "Grande" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 3 4 "Grande" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 3 "Más de 4" "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 3 "Más de 4" "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 3 "Más de 4" "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 3 "Más de 4" "Medio" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 3 "Más de 4" "Medio" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 3 "Más de 4" "Medio" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 3 "Más de 4" "Grande" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 3 "Más de 4" "Grande" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 3 "Más de 4" "Grande" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 4 2 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 4 2 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 4 2 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 4 2 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 4 2 "Medio" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 4 2 "Medio" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 4 2 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 4 2 "Grande" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 4 2 "Grande" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 4 4 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 4 4 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 4 4 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 4 4 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 4 4 "Medio" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 4 4 "Medio" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 4 4 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 4 4 "Grande" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 4 4 "Grande" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 4 "Más de 4" "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 4 "Más de 4" "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 4 "Más de 4" "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 4 "Más de 4" "Medio" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 4 "Más de 4" "Medio" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 4 "Más de 4" "Medio" "Alto" "Inaceptable"
"Muy alto" "Muy alto" 4 "Más de 4" "Grande" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" 4 "Más de 4" "Grande" "Medio" "Inaceptable"
"Muy alto" "Muy alto" 4 "Más de 4" "Grande" "Alto" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 2 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 2 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 2 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 2 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 2 "Medio" "Medio" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 2 "Medio" "Alto" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 2 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 2 "Grande" "Medio" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 2 "Grande" "Alto" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 4 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 4 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 4 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 4 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 4 "Medio" "Medio" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 4 "Medio" "Alto" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 4 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 4 "Grande" "Medio" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" 4 "Grande" "Alto" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" "Más de 4" "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" "Más de 4" "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" "Más de 4" "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" "Más de 4" "Medio" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" "Más de 4" "Medio" "Medio" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" "Más de 4" "Medio" "Alto" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" "Más de 4" "Grande" "Bajo" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" "Más de 4" "Grande" "Medio" "Inaceptable"
"Muy alto" "Muy alto" "5 o más" "Más de 4" "Grande" "Alto" "Inaceptable"
"Muy alto" "Alto" 2 2 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Alto" 2 2 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Alto" 2 2 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Alto" 2 2 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Alto" 2 2 "Medio" "Medio" "Inaceptable"
"Muy alto" "Alto" 2 2 "Medio" "Alto" "Inaceptable"
"Muy alto" "Alto" 2 2 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Alto" 2 2 "Grande" "Medio" "Inaceptable"
"Muy alto" "Alto" 2 2 "Grande" "Alto" "Inaceptable"
"Muy alto" "Alto" 2 4 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Alto" 2 4 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Alto" 2 4 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Alto" 2 4 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Alto" 2 4 "Medio" "Medio" "Inaceptable"
"Muy alto" "Alto" 2 4 "Medio" "Alto" "Inaceptable"
"Muy alto" "Alto" 2 4 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Alto" 2 4 "Grande" "Medio" "Inaceptable"
"Muy alto" "Alto" 2 4 "Grande" "Alto" "Inaceptable"
"Muy alto" "Alto" 2 "Más de 4" "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Alto" 2 "Más de 4" "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Alto" 2 "Más de 4" "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Alto" 2 "Más de 4" "Medio" "Bajo" "Inaceptable"
"Muy alto" "Alto" 2 "Más de 4" "Medio" "Medio" "Inaceptable"
"Muy alto" "Alto" 2 "Más de 4" "Medio" "Alto" "Inaceptable"
"Muy alto" "Alto" 2 "Más de 4" "Grande" "Bajo" "Inaceptable"
"Muy alto" "Alto" 2 "Más de 4" "Grande" "Medio" "Inaceptable"
"Muy alto" "Alto" 2 "Más de 4" "Grande" "Alto" "Inaceptable"
"Muy alto" "Alto" 3 2 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Alto" 3 2 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Alto" 3 2 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Alto" 3 2 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Alto" 3 2 "Medio" "Medio" "Inaceptable"
"Muy alto" "Alto" 3 2 "Medio" "Alto" "Inaceptable"
"Muy alto" "Alto" 3 2 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Alto" 3 2 "Grande" "Medio" "Inaceptable"
"Muy alto" "Alto" 3 2 "Grande" "Alto" "Inaceptable"
"Muy alto" "Alto" 3 4 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Alto" 3 4 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Alto" 3 4 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Alto" 3 4 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Alto" 3 4 "Medio" "Medio" "Inaceptable"
"Muy alto" "Alto" 3 4 "Medio" "Alto" "Inaceptable"
"Muy alto" "Alto" 3 4 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Alto" 3 4 "Grande" "Medio" "Inaceptable"
"Muy alto" "Alto" 3 4 "Grande" "Alto" "Inaceptable"
"Muy alto" "Alto" 3 "Más de 4" "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Alto" 3 "Más de 4" "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Alto" 3 "Más de 4" "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Alto" 3 "Más de 4" "Medio" "Bajo" "Inaceptable"
"Muy alto" "Alto" 3 "Más de 4" "Medio" "Medio" "Inaceptable"
"Muy alto" "Alto" 3 "Más de 4" "Medio" "Alto" "Inaceptable"
"Muy alto" "Alto" 3 "Más de 4" "Grande" "Bajo" "Inaceptable"
"Muy alto" "Alto" 3 "Más de 4" "Grande" "Medio" "Inaceptable"
"Muy alto" "Alto" 3 "Más de 4" "Grande" "Alto" "Inaceptable"
"Muy alto" "Alto" 4 2 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Alto" 4 2 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Alto" 4 2 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Alto" 4 2 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Alto" 4 2 "Medio" "Medio" "Inaceptable"
"Muy alto" "Alto" 4 2 "Medio" "Alto" "Inaceptable"
"Muy alto" "Alto" 4 2 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Alto" 4 2 "Grande" "Medio" "Inaceptable"
"Muy alto" "Alto" 4 2 "Grande" "Alto" "Inaceptable"
"Muy alto" "Alto" 4 4 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Alto" 4 4 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Alto" 4 4 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Alto" 4 4 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Alto" 4 4 "Medio" "Medio" "Inaceptable"
"Muy alto" "Alto" 4 4 "Medio" "Alto" "Inaceptable"
"Muy alto" "Alto" 4 4 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Alto" 4 4 "Grande" "Medio" "Inaceptable"
"Muy alto" "Alto" 4 4 "Grande" "Alto" "Inaceptable"
"Muy alto" "Alto" 4 "Más de 4" "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Alto" 4 "Más de 4" "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Alto" 4 "Más de 4" "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Alto" 4 "Más de 4" "Medio" "Bajo" "Inaceptable"
"Muy alto" "Alto" 4 "Más de 4" "Medio" "Medio" "Inaceptable"
"Muy alto" "Alto" 4 "Más de 4" "Medio" "Alto" "Inaceptable"
"Muy alto" "Alto" 4 "Más de 4" "Grande" "Bajo" "Inaceptable"
"Muy alto" "Alto" 4 "Más de 4" "Grande" "Medio" "Inaceptable"
"Muy alto" "Alto" 4 "Más de 4" "Grande" "Alto" "Inaceptable"
"Muy alto" "Alto" "5 o más" 2 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Alto" "5 o más" 2 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Alto" "5 o más" 2 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Alto" "5 o más" 2 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Alto" "5 o más" 2 "Medio" "Medio" "Inaceptable"
"Muy alto" "Alto" "5 o más" 2 "Medio" "Alto" "Inaceptable"
"Muy alto" "Alto" "5 o más" 2 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Alto" "5 o más" 2 "Grande" "Medio" "Inaceptable"
"Muy alto" "Alto" "5 o más" 2 "Grande" "Alto" "Inaceptable"
"Muy alto" "Alto" "5 o más" 4 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Alto" "5 o más" 4 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Alto" "5 o más" 4 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Alto" "5 o más" 4 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Alto" "5 o más" 4 "Medio" "Medio" "Inaceptable"
"Muy alto" "Alto" "5 o más" 4 "Medio" "Alto" "Inaceptable"
"Muy alto" "Alto" "5 o más" 4 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Alto" "5 o más" 4 "Grande" "Medio" "Inaceptable"
"Muy alto" "Alto" "5 o más" 4 "Grande" "Alto" "Inaceptable"
"Muy alto" "Alto" "5 o más" "Más de 4" "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Alto" "5 o más" "Más de 4" "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Alto" "5 o más" "Más de 4" "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Alto" "5 o más" "Más de 4" "Medio" "Bajo" "Inaceptable"
"Muy alto" "Alto" "5 o más" "Más de 4" "Medio" "Medio" "Inaceptable"
"Muy alto" "Alto" "5 o más" "Más de 4" "Medio" "Alto" "Inaceptable"
"Muy alto" "Alto" "5 o más" "Más de 4" "Grande" "Bajo" "Inaceptable"
"Muy alto" "Alto" "5 o más" "Más de 4" "Grande" "Medio" "Inaceptable"
"Muy alto" "Alto" "5 o más" "Más de 4" "Grande" "Alto" "Inaceptable"
"Muy alto" "Medio" 2 2 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Medio" 2 2 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Medio" 2 2 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Medio" 2 2 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Medio" 2 2 "Medio" "Medio" "Inaceptable"
"Muy alto" "Medio" 2 2 "Medio" "Alto" "Inaceptable"
"Muy alto" "Medio" 2 2 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Medio" 2 2 "Grande" "Medio" "Inaceptable"
"Muy alto" "Medio" 2 2 "Grande" "Alto" "Inaceptable"
"Muy alto" "Medio" 2 4 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Medio" 2 4 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Medio" 2 4 "Pequeño" "Alto" "Aceptable"
"Muy alto" "Medio" 2 4 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Medio" 2 4 "Medio" "Medio" "Inaceptable"
"Muy alto" "Medio" 2 4 "Medio" "Alto" "Aceptable"
"Muy alto" "Medio" 2 4 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Medio" 2 4 "Grande" "Medio" "Aceptable"
"Muy alto" "Medio" 2 4 "Grande" "Alto" "Aceptable"
"Muy alto" "Medio" 2 "Más de 4" "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Medio" 2 "Más de 4" "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Medio" 2 "Más de 4" "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Medio" 2 "Más de 4" "Medio" "Bajo" "Inaceptable"
"Muy alto" "Medio" 2 "Más de 4" "Medio" "Medio" "Inaceptable"
"Muy alto" "Medio" 2 "Más de 4" "Medio" "Alto" "Aceptable"
"Muy alto" "Medio" 2 "Más de 4" "Grande" "Bajo" "Inaceptable"
"Muy alto" "Medio" 2 "Más de 4" "Grande" "Medio" "Aceptable"
"Muy alto" "Medio" 2 "Más de 4" "Grande" "Alto" "Aceptable"
"Muy alto" "Medio" 3 2 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Medio" 3 2 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Medio" 3 2 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Medio" 3 2 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Medio" 3 2 "Medio" "Medio" "Inaceptable"
"Muy alto" "Medio" 3 2 "Medio" "Alto" "Inaceptable"
"Muy alto" "Medio" 3 2 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Medio" 3 2 "Grande" "Medio" "Inaceptable"
"Muy alto" "Medio" 3 2 "Grande" "Alto" "Inaceptable"
"Muy alto" "Medio" 3 4 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Medio" 3 4 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Medio" 3 4 "Pequeño" "Alto" "Aceptable"
"Muy alto" "Medio" 3 4 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Medio" 3 4 "Medio" "Medio" "Inaceptable"
"Muy alto" "Medio" 3 4 "Medio" "Alto" "Aceptable"
"Muy alto" "Medio" 3 4 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Medio" 3 4 "Grande" "Medio" "Aceptable"
"Muy alto" "Medio" 3 4 "Grande" "Alto" "Aceptable"
"Muy alto" "Medio" 3 "Más de 4" "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Medio" 3 "Más de 4" "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Medio" 3 "Más de 4" "Pequeño" "Alto" "Aceptable"
"Muy alto" "Medio" 3 "Más de 4" "Medio" "Bajo" "Inaceptable"
"Muy alto" "Medio" 3 "Más de 4" "Medio" "Medio" "Aceptable"
"Muy alto" "Medio" 3 "Más de 4" "Medio" "Alto" "Aceptable"
"Muy alto" "Medio" 3 "Más de 4" "Grande" "Bajo" "Inaceptable"
"Muy alto" "Medio" 3 "Más de 4" "Grande" "Medio" "Aceptable"
"Muy alto" "Medio" 3 "Más de 4" "Grande" "Alto" "Aceptable"
"Muy alto" "Medio" 4 2 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Medio" 4 2 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Medio" 4 2 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Medio" 4 2 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Medio" 4 2 "Medio" "Medio" "Inaceptable"
"Muy alto" "Medio" 4 2 "Medio" "Alto" "Inaceptable"
"Muy alto" "Medio" 4 2 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Medio" 4 2 "Grande" "Medio" "Inaceptable"
"Muy alto" "Medio" 4 2 "Grande" "Alto" "Inaceptable"
"Muy alto" "Medio" 4 4 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Medio" 4 4 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Medio" 4 4 "Pequeño" "Alto" "Aceptable"
"Muy alto" "Medio" 4 4 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Medio" 4 4 "Medio" "Medio" "Aceptable"
"Muy alto" "Medio" 4 4 "Medio" "Alto" "Aceptable"
"Muy alto" "Medio" 4 4 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Medio" 4 4 "Grande" "Medio" "Aceptable"
"Muy alto" "Medio" 4 4 "Grande" "Alto" "Aceptable"
"Muy alto" "Medio" 4 "Más de 4" "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Medio" 4 "Más de 4" "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Medio" 4 "Más de 4" "Pequeño" "Alto" "Aceptable"
"Muy alto" "Medio" 4 "Más de 4" "Medio" "Bajo" "Inaceptable"
"Muy alto" "Medio" 4 "Más de 4" "Medio" "Medio" "Aceptable"
"Muy alto" "Medio" 4 "Más de 4" "Medio" "Alto" "Aceptable"
"Muy alto" "Medio" 4 "Más de 4" "Grande" "Bajo" "Inaceptable"
"Muy alto" "Medio" 4 "Más de 4" "Grande" "Medio" "Aceptable"
"Muy alto" "Medio" 4 "Más de 4" "Grande" "Alto" "Aceptable"
"Muy alto" "Medio" "5 o más" 2 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Medio" "5 o más" 2 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Medio" "5 o más" 2 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Medio" "5 o más" 2 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Medio" "5 o más" 2 "Medio" "Medio" "Inaceptable"
"Muy alto" "Medio" "5 o más" 2 "Medio" "Alto" "Inaceptable"
"Muy alto" "Medio" "5 o más" 2 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Medio" "5 o más" 2 "Grande" "Medio" "Inaceptable"
"Muy alto" "Medio" "5 o más" 2 "Grande" "Alto" "Inaceptable"
"Muy alto" "Medio" "5 o más" 4 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Medio" "5 o más" 4 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Medio" "5 o más" 4 "Pequeño" "Alto" "Aceptable"
"Muy alto" "Medio" "5 o más" 4 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Medio" "5 o más" 4 "Medio" "Medio" "Aceptable"
"Muy alto" "Medio" "5 o más" 4 "Medio" "Alto" "Aceptable"
"Muy alto" "Medio" "5 o más" 4 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Medio" "5 o más" 4 "Grande" "Medio" "Aceptable"
"Muy alto" "Medio" "5 o más" 4 "Grande" "Alto" "Aceptable"
"Muy alto" "Medio" "5 o más" "Más de 4" "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Medio" "5 o más" "Más de 4" "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Medio" "5 o más" "Más de 4" "Pequeño" "Alto" "Aceptable"
"Muy alto" "Medio" "5 o más" "Más de 4" "Medio" "Bajo" "Inaceptable"
"Muy alto" "Medio" "5 o más" "Más de 4" "Medio" "Medio" "Aceptable"
"Muy alto" "Medio" "5 o más" "Más de 4" "Medio" "Alto" "Aceptable"
"Muy alto" "Medio" "5 o más" "Más de 4" "Grande" "Bajo" "Inaceptable"
"Muy alto" "Medio" "5 o más" "Más de 4" "Grande" "Medio" "Aceptable"
"Muy alto" "Medio" "5 o más" "Más de 4" "Grande" "Alto" "Aceptable"
"Muy alto" "Bajo" 2 2 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Bajo" 2 2 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Bajo" 2 2 "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Bajo" 2 2 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Bajo" 2 2 "Medio" "Medio" "Inaceptable"
"Muy alto" "Bajo" 2 2 "Medio" "Alto" "Inaceptable"
"Muy alto" "Bajo" 2 2 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Bajo" 2 2 "Grande" "Medio" "Inaceptable"
"Muy alto" "Bajo" 2 2 "Grande" "Alto" "Inaceptable"
"Muy alto" "Bajo" 2 4 "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Bajo" 2 4 "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Bajo" 2 4 "Pequeño" "Alto" "Aceptable"
"Muy alto" "Bajo" 2 4 "Medio" "Bajo" "Inaceptable"
"Muy alto" "Bajo" 2 4 "Medio" "Medio" "Inaceptable"
"Muy alto" "Bajo" 2 4 "Medio" "Alto" "Aceptable"
"Muy alto" "Bajo" 2 4 "Grande" "Bajo" "Inaceptable"
"Muy alto" "Bajo" 2 4 "Grande" "Medio" "Aceptable"
"Muy alto" "Bajo" 2 4 "Grande" "Alto" "Aceptable"
"Muy alto" "Bajo" 2 "Más de 4" "Pequeño" "Bajo" "Inaceptable"
"Muy alto" "Bajo" 2 "Más de 4" "Pequeño" "Medio" "Inaceptable"
"Muy alto" "Bajo" 2 "Más de 4" "Pequeño" "Alto" "Inaceptable"
"Muy alto" "Bajo" 2 "Más de 4" "Medio" "Bajo" "Inaceptable"
